,StockCode,Brand,Unit Price,Category
0,22629,Ganma,13.99,Cell
1,21238,Eye Buy Express,19.22,Health
2,22181,Mightyskins,14.99,Video
3,84879,Medi,62.38,Health
4,84836,Stupell Industries,35.99,Home
5,22716,Mightyskins,22.99,Electronics
7,POST,Mightyskins,64.99,Electronics
8,23357,Mightyskins,8.99,Cell
9,M,Dr. Comfort,139.0,Clothing
10,23283,Mightyskins,23.99,Electronics
11,22098,Eye Buy Express,25.99,Health
12,21621,MusicBoxAttic,63.99,Office
16,23355,JustVH,11.09,Clothing
17,21155,KATARINA,3425.0,Jewelry
18,72800E,Mightyskins,9.99,Video
19,23110,Yosoo,7.76,Beauty
20,22952,Duda Energy,23.65,Home
22,21246,Auburn Leathercrafters,49.66,Pets
23,20972,CHOSEN SUPPLIES,40.85,Household
24,22037,Eye Buy Express,25.99,Health
25,22301,Medi,110.38,Health
26,85178,Ekena Millwork,252.0,Home
27,85180B,Mightyskins,23.99,Electronics
28,22139,allwitty,14.99,Clothing
29,22402,Mightyskins,23.99,Electronics
30,23343,Mightyskins,19.99,Electronics
31,23661,Ambiant,1799.95,Home
32,21498,Mightyskins,12.99,Electronics
33,84991,Rosalind Wheeler,224.39,Office
34,21445,Mightyskins,14.99,Electronics
35,84978,DJI,14.99,Electronics
36,21264,DipWell,8.97,Beauty
37,20728,Mediven,47.98,Health
38,22970,New Way,29.69,Household
40,20719,Yosoo,7.49,Beauty
41,82486,Mightyskins,7.99,Electronics
42,21932,Mightyskins,9.99,Electronics
43,22734,Mightyskins,14.99,Home
44,84378,Ekena Milwork,164.79,Home
45,23345,Eye Buy Express,22.99,Health
46,85131C,MusicBoxAttic,38.99,Office
47,22291,Medi,62.38,Health
48,23084,UNOTUX,41.99,Clothing
49,21259,Urbane,21.49,Clothing
50,21864,Galaxy by Harvic,11.97,Clothing
51,82600,Mightyskins,12.99,Electronics
52,23256,Mightyskins,23.99,Electronics
53,23193,Eye Buy Express,23.99,Health
54,21217,Box Packaging,76.88,Office
55,84012,FindingKing,19.82,Pets
56,22652,Port Authority,43.18,Clothing
57,23424,MusicBoxAttic,270.99,Home
58,21232,Buckle-Down,24.99,Pets
59,21888,Medi,110.38,Health
60,23236,Business Essentials,30.4,Office
61,22776,Envelopes.com,421.95,Office
62,23217,MusicBoxAttic,289.99,Jewelry
63,85099F,Tom Ford,63.2,Beauty
64,21668,Mightyskins,23.99,Electronics
65,23245,Edsal,312.2,Home
66,22625,MyNetDeals,19.97,Electronics
67,22866,Awkward Styles,23.95,Clothing
68,21086,Boss (hub),149.41,Health
69,21684,UNOTUX,51.99,Clothing
70,23321,Mightyskins,6.99,Cell
71,22906,Seat Belt Extender Pros,15.89,Auto
72,22326,Style and Apply,49.95,Home
73,20676,Eye Buy Express,29.99,Health
74,22386,Mightyskins,23.99,Electronics
75,22750,MusicBoxAttic,38.99,Office
76,21992,Eye Buy Express,28.99,Health
77,85099B,Eye Buy Express,19.99,Health
78,22419,Mightyskins,6.99,Cell
80,21928,Mightyskins,29.99,Sports
81,21802,Sculpey,4.65,Toys
82,79063D,EZAUTOWRAP,173.09,Auto
83,22470,The Holiday Aisle,35.99,Party
85,71477,Mightyskins,12.99,Electronics
86,22165,Business Essentials,33.79,Office
88,22571,Eye Buy Express,25.99,Health
90,22677,Edwards,32.56,Clothing
91,22895,Business Essentials,34.64,Office
